customerID,churn_prediction,churn_probability,top_shap_features
8091-TTVAX,0,0.40182346,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'SentimentScore', 'OnlineSecurity'], 'values': [-0.9433250427246094, 0.8965562582015991, -0.5773786306381226, 0.3884805142879486, 0.20757639408111572]}"
0280-XJGEX,1,0.88995,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'EmojiCount', 'TechSupport'], 'values': [1.2683384418487549, 0.680001974105835, -0.5308887362480164, 0.4366028904914856, 0.28235840797424316]}"
5129-JLPIS,0,0.38955447,"{'features': ['MonthlyCharges', 'TechSupport', 'Contract', 'OnlineSecurity', 'gender'], 'values': [1.2102854251861572, -0.5701054334640503, 0.4920276701450348, -0.461239755153656, -0.32357996702194214]}"
3655-SNQYZ,0,0.013964014,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'Dependents', 'average'], 'values': [-1.8586945533752441, -0.5864735245704651, 0.5663464665412903, -0.4412749409675598, -0.39701348543167114]}"
8191-XWSZG,0,0.025520321,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'SentimentScore', 'PaymentMethod'], 'values': [-1.289846658706665, -1.033557415008545, -0.5151563882827759, -0.5051291584968567, -0.19134747982025146]}"
9959-WOFKT,0,0.06743423,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'service', 'Dependents'], 'values': [-1.6552655696868896, -1.1779754161834717, 1.0954121351242065, 0.49833202362060547, -0.4402092695236206]}"
4190-MFLUW,0,0.34388402,"{'features': ['Contract', 'MonthlyCharges', 'DeviceProtection', 'Dependents', 'TechSupport'], 'values': [0.6227431297302246, -0.41640254855155945, -0.3889094591140747, -0.3392331600189209, -0.2577039301395416]}"
4183-MYFRB,0,0.38341838,"{'features': ['Contract', 'drops', 'DeviceProtection', 'MonthlyCharges', 'tenure'], 'values': [0.7172781229019165, -0.608557403087616, -0.3682878613471985, 0.34146106243133545, -0.23775693774223328]}"
8779-QRDMV,1,0.91445464,"{'features': ['tenure', 'PhoneService', 'MonthlyCharges', 'Contract', 'TechSupport'], 'values': [0.9967321157455444, 0.7694663405418396, -0.7113704681396484, 0.634970486164093, 0.3167794346809387]}"
1680-VDCWW,0,0.06529061,"{'features': ['Contract', 'MonthlyCharges', 'TotalCharges', 'StreamingMovies', 'PaymentMethod'], 'values': [-1.241406798362732, -0.7839953303337097, -0.21300113201141357, -0.20235420763492584, 0.13957348465919495]}"
1066-JKSGK,1,0.65980035,"{'features': ['tenure', 'Contract', 'MonthlyCharges', 'SentimentScore', 'great'], 'values': [1.1468967199325562, 0.7159488797187805, -0.5829874873161316, -0.34528860449790955, 0.2071823924779892]}"
3638-WEABW,0,0.01909301,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'is', 'TechSupport'], 'values': [-1.9228726625442505, -0.7756162881851196, -0.5556035041809082, -0.32889389991760254, -0.31081458926200867]}"
6322-HRPFA,0,0.095252395,"{'features': ['tenure', 'TechSupport', 'Contract', 'MonthlyCharges', 'OnlineSecurity'], 'values': [-0.5626989603042603, -0.5118094086647034, 0.5000132322311401, -0.4746773838996887, -0.36222755908966064]}"
6865-JZNKO,0,0.237693,"{'features': ['MonthlyCharges', 'kabhi', 'Contract', 'service', 'OnlineSecurity'], 'values': [-0.7289466261863708, -0.6700284481048584, 0.6463372707366943, 0.546162486076355, -0.45375216007232666]}"
6467-CHFZW,0,0.45802426,"{'features': ['MonthlyCharges', 'Dependents', 'tenure', 'Contract', 'SentimentScore'], 'values': [1.0630016326904297, -0.7142775058746338, -0.6411004066467285, 0.6068362593650818, -0.3376385569572449]}"
8665-UTDHZ,1,0.69856286,"{'features': ['tenure', 'MonthlyCharges', 'Contract', 'kabhi', 'PhoneService'], 'values': [1.0547977685928345, -0.8734477758407593, 0.7551208138465881, -0.5667750835418701, 0.5078047513961792]}"
5248-YGIJN,0,0.0034453424,"{'features': ['Contract', 'tenure', 'TechSupport', 'OnlineSecurity', 'DeviceProtection'], 'values': [-2.0143887996673584, -1.6378968954086304, -0.4236610233783722, -0.41007208824157715, -0.2987792491912842]}"
8773-HHUOZ,0,0.45172018,"{'features': ['Contract', 'MonthlyCharges', 'PaymentMethod', 'Dependents', 'TotalCharges'], 'values': [0.5593946576118469, -0.40874332189559937, -0.3801388740539551, -0.3304828405380249, 0.18991076946258545]}"
3841-NFECX,0,0.006665805,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'OnlineSecurity', 'TechSupport'], 'values': [-2.045285940170288, -1.4361389875411987, 0.6587965488433838, -0.3902914822101593, -0.3123871386051178]}"
4929-XIHVW,1,0.69019085,"{'features': ['Contract', 'bills', 'MonthlyCharges', 'tenure', 'every'], 'values': [0.7951352000236511, -0.7102437615394592, 0.6934188008308411, 0.5722017884254456, 0.32546448707580566]}"
6827-IEAUQ,0,0.017709611,"{'features': ['Contract', 'tenure', 'OnlineSecurity', 'TechSupport', 'hai'], 'values': [-1.1202539205551147, -0.3993181586265564, -0.37657344341278076, -0.3403964340686798, -0.33415111899375916]}"
7310-EGVHZ,0,0.3029905,"{'features': ['MonthlyCharges', 'tenure', 'Contract', 'not', 'TotalCharges'], 'values': [-0.9494261741638184, 0.9315680265426636, 0.7631003260612488, -0.3794898986816406, -0.3728349804878235]}"
3413-BMNZE,0,0.35430646,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'TotalCharges', 'drops'], 'values': [0.7307618260383606, -0.682555079460144, 0.5404992699623108, -0.48393961787223816, -0.39103832840919495]}"
6234-RAAPL,0,0.0038186584,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'average', 'Dependents'], 'values': [-1.9639006853103638, -1.8189059495925903, 0.5448862910270691, -0.4943626821041107, -0.30682989954948425]}"
6047-YHPVI,1,0.77853626,"{'features': ['Contract', 'tenure', 'complaints', 'TotalCharges', 'OnlineSecurity'], 'values': [0.8757302761077881, 0.4700729548931122, -0.4558241665363312, -0.2526494562625885, 0.20850911736488342]}"
6572-ADKRS,0,0.16465369,"{'features': ['the', 'tenure', 'Contract', 'DeviceProtection', 'TechSupport'], 'values': [-1.0619937181472778, -0.7307808995246887, 0.6958925127983093, -0.24673287570476532, 0.1970849335193634]}"
5380-WJKOV,1,0.7670003,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'OnlineBackup', 'OnlineSecurity'], 'values': [1.12776780128479, 0.6897169947624207, -0.575856626033783, -0.2547507584095001, 0.24651628732681274]}"
8168-UQWWF,1,0.9451137,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'it', 'OnlineSecurity'], 'values': [1.2680974006652832, 0.6972203850746155, 0.3390244245529175, -0.22891508042812347, 0.21310248970985413]}"
8865-TNMNX,0,0.026609555,"{'features': ['Contract', 'MonthlyCharges', 'OnlineBackup', 'Dependents', 'TotalCharges'], 'values': [-1.066839337348938, -0.85491544008255, -0.37624889612197876, -0.31030508875846863, -0.264364629983902]}"
9489-DEDVP,0,0.021407073,"{'features': ['Contract', 'tenure', 'OnlineSecurity', 'MonthlyCharges', 'OnlineBackup'], 'values': [-2.1000096797943115, -0.72232985496521, -0.4260585308074951, -0.23209087550640106, -0.20055218040943146]}"
9867-JCZSP,0,0.021050224,"{'features': ['MonthlyCharges', 'Contract', 'PaymentMethod', 'TotalCharges', 'Dependents'], 'values': [-1.202730417251587, -1.1542797088623047, -0.37949445843696594, -0.3392241895198822, -0.3030180037021637]}"
4671-VJLCL,0,0.0109775895,"{'features': ['Contract', 'tenure', 'TechSupport', 'OnlineSecurity', 'DeviceProtection'], 'values': [-2.1246533393859863, -0.876335084438324, -0.47507375478744507, -0.4201769232749939, -0.30994153022766113]}"
4080-IIARD,0,0.24577516,"{'features': ['Contract', 'OnlineSecurity', 'TechSupport', 'EmojiNegativeCount', 'MonthlyCharges'], 'values': [0.7307648658752441, -0.5834938883781433, -0.36216720938682556, -0.32639095187187195, -0.2936222553253174]}"
3714-NTNFO,1,0.56298006,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'SentimentScore', 'and'], 'values': [0.7809359431266785, -0.750454306602478, 0.3083520829677582, 0.25112631916999817, -0.2477976381778717]}"
5948-UJZLF,0,0.42886624,"{'features': ['Contract', 'MonthlyCharges', 'PaymentMethod', 'tenure', 'not'], 'values': [0.7742000818252563, -0.5984496474266052, -0.5317127704620361, 0.5080273151397705, -0.2802444100379944]}"
7760-OYPDY,1,0.8756176,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'TotalCharges', 'complaints'], 'values': [0.9257522225379944, 0.577604353427887, 0.2946642339229584, -0.2682814300060272, -0.2655491232872009]}"
7639-LIAYI,0,0.051616024,"{'features': ['Contract', 'tenure', 'InternetService', 'TechSupport', 'ever'], 'values': [-2.190525770187378, -0.35143351554870605, 0.3250635266304016, -0.2698579728603363, 0.2618158459663391]}"
2954-PIBKO,0,0.021226242,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'OnlineSecurity', 'ever'], 'values': [-1.8965975046157837, -0.7602760195732117, -0.44411227107048035, -0.3361597955226898, 0.28307658433914185]}"
8012-SOUDQ,0,0.15762472,"{'features': ['the', 'tenure', 'Contract', 'is', 'OnlineBackup'], 'values': [-0.8792130351066589, -0.7242158055305481, 0.674069881439209, -0.3753843605518341, -0.33128345012664795]}"
9420-LOJKX,1,0.79710746,"{'features': ['MonthlyCharges', 'Contract', 'gender', 'OnlineSecurity', 'OnlineBackup'], 'values': [1.0172510147094727, 0.7647068500518799, 0.3068788945674896, -0.26695045828819275, -0.18007183074951172]}"
6575-SUVOI,0,0.13361102,"{'features': ['Contract', 'OnlineSecurity', 'MonthlyCharges', 'SentimentScore', 'tenure'], 'values': [0.6910439729690552, -0.5583773851394653, -0.4974907636642456, -0.4155449867248535, -0.3448117673397064]}"
7495-OOKFY,1,0.8876178,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'OnlineBackup', 'OnlineSecurity'], 'values': [0.8900679349899292, 0.4615177810192108, 0.4256819784641266, -0.3239203989505768, 0.18513624370098114]}"
4667-QONEA,0,0.1076156,"{'features': ['tenure', 'Contract', 'every', 'TechSupport', 'bills'], 'values': [-0.7851245403289795, -0.6903325915336609, 0.46288061141967773, -0.420465350151062, -0.32111871242523193]}"
1658-BYGOY,1,0.73110497,"{'features': ['Contract', 'MonthlyCharges', 'but', 'SentimentScore', 'PaymentMethod'], 'values': [0.7116405963897705, 0.6683127284049988, -0.31249839067459106, -0.2461795210838318, 0.2225203961133957]}"
8769-KKTPH,0,0.22679152,"{'features': ['tenure', 'MonthlyCharges', 'OnlineSecurity', 'Contract', 'Dependents'], 'values': [-0.9366182088851929, 0.7189014554023743, -0.4806218445301056, -0.4554804563522339, -0.4161403179168701]}"
5067-XJQFU,0,0.072878025,"{'features': ['MonthlyCharges', 'Contract', 'Dependents', 'tenure', 'DeviceProtection'], 'values': [0.899944007396698, -0.6566659212112427, -0.54840487241745, -0.5205349922180176, -0.2832488417625427]}"
3957-SQXML,0,0.06152712,"{'features': ['Contract', 'MonthlyCharges', 'great', 'SentimentScore', 'Dependents'], 'values': [-1.4061040878295898, -1.1104626655578613, 0.9318380951881409, -0.5066971778869629, -0.46428561210632324]}"
5954-BDFSG,0,0.08787218,"{'features': ['tenure', 'Contract', 'MonthlyCharges', 'TotalCharges', 'OnlineBackup'], 'values': [-1.852622151374817, -1.7882843017578125, 1.412243366241455, 0.3810766041278839, 0.3420105278491974]}"
0434-CSFON,1,0.70189285,"{'features': ['MonthlyCharges', 'tenure', 'Contract', 'SentimentScore', 'nothing'], 'values': [0.9137193560600281, -0.7260833978652954, 0.6101472973823547, 0.2486456334590912, -0.24747425317764282]}"
1215-FIGMP,0,0.09335586,"{'features': ['tenure', 'Contract', 'customer', 'is', 'OnlineBackup'], 'values': [-1.4243245124816895, 0.6380423307418823, -0.5733416676521301, -0.3251141309738159, -0.22464117407798767]}"
0526-SXDJP,0,0.021921676,"{'features': ['Contract', 'tenure', 'PhoneService', 'MonthlyCharges', 'OnlineSecurity'], 'values': [-2.169081211090088, -1.4066886901855469, 0.5957890748977661, -0.4554731249809265, -0.4280736446380615]}"
0557-ASKVU,0,0.022892186,"{'features': ['Contract', 'MonthlyCharges', 'SentimentScore', 'TechSupport', 'Dependents'], 'values': [-1.1156731843948364, -0.7062696814537048, -0.5179908871650696, -0.2723007798194885, -0.25618842244148254]}"
5698-BQJOH,1,0.7723559,"{'features': ['bills', 'Contract', 'MonthlyCharges', 'tenure', 'every'], 'values': [-0.8688029646873474, 0.7961916923522949, 0.6512904763221741, 0.3061786890029907, 0.2837581932544708]}"
5122-CYFXA,0,0.13390738,"{'features': ['Contract', 'drops', 'TotalCharges', 'MonthlyCharges', 'TechSupport'], 'values': [0.6885784864425659, -0.6138690710067749, -0.5584728121757507, -0.5388322472572327, -0.45757874846458435]}"
8627-ZYGSZ,0,0.13187192,"{'features': ['Contract', 'tenure', 'PaymentMethod', 'hai', 'speed'], 'values': [-1.4557188749313354, -0.2739821970462799, 0.24438686668872833, -0.2288808375597, 0.20725327730178833]}"
3410-YOQBQ,0,0.04210358,"{'features': ['Contract', 'tenure', 'TechSupport', 'TotalCharges', 'InternetService'], 'values': [-2.3174450397491455, -0.38992416858673096, -0.34483230113983154, 0.31256362795829773, 0.29116150736808777]}"
3170-NMYVV,0,0.029434169,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'Dependents', 'much'], 'values': [-1.7958232164382935, -1.0319446325302124, -0.510134756565094, -0.3306471109390259, 0.27273598313331604]}"
7410-OIEDU,0,0.3804329,"{'features': ['the', 'Contract', 'OnlineSecurity', 'PaymentMethod', 'tenure'], 'values': [-0.6861974000930786, 0.6829382181167603, -0.5919304490089417, -0.4106009900569916, 0.33058157563209534]}"
2273-QCKXA,0,0.3676168,"{'features': ['tenure', 'Contract', 'MonthlyCharges', 'TechSupport', 'PaymentMethod'], 'values': [0.9472001194953918, 0.7378053069114685, -0.6262643933296204, -0.612655758857727, -0.4812030494213104]}"
0731-EBJQB,0,0.072664015,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'Dependents', 'SentimentScore'], 'values': [-1.2350234985351562, -0.8898371458053589, -0.41041848063468933, -0.3217819929122925, 0.20259524881839752]}"
1891-QRQSA,0,0.11152271,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'OnlineBackup', 'Dependents'], 'values': [-1.442050576210022, 0.9406070709228516, -0.6839819550514221, 0.41111722588539124, -0.4095366299152374]}"
8028-PNXHQ,0,0.003991143,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'complaints', 'TotalCharges'], 'values': [-1.9034794569015503, -1.1678459644317627, -0.661069393157959, -0.43417033553123474, -0.3937797546386719]}"
5630-AHZIL,1,0.59510285,"{'features': ['tenure', 'Contract', 'MonthlyCharges', 'OnlineSecurity', 'kabhi'], 'values': [0.7909002304077148, 0.7231078743934631, -0.561835765838623, -0.5458579063415527, -0.5232808589935303]}"
2673-CXQEU,0,0.27420825,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'OnlineSecurity', 'TotalCharges'], 'values': [0.9662530422210693, -0.6999826431274414, -0.46513769030570984, -0.4144411087036133, 0.3529323935508728]}"
6416-JNVRK,0,0.11562777,"{'features': ['Contract', 'SentimentScore', 'MonthlyCharges', 'tenure', 'very'], 'values': [-1.0441004037857056, -0.7346733808517456, -0.7207953333854675, -0.42802363634109497, 0.25818541646003723]}"
5590-ZSKRV,0,0.06225708,"{'features': ['MonthlyCharges', 'the', 'Contract', 'PaymentMethod', 'OnlineBackup'], 'values': [-0.7996421456336975, -0.7349624037742615, 0.5861415266990662, -0.37584513425827026, -0.25927963852882385]}"
0191-ZHSKZ,0,0.2338936,"{'features': ['OnlineSecurity', 'Contract', 'SentimentScore', 'customer', 'tenure'], 'values': [-0.604751467704773, 0.5837340354919434, -0.4188849925994873, -0.4044283628463745, -0.3855349123477936]}"
3887-PBQAO,0,0.009410385,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'Dependents', 'TotalCharges'], 'values': [-1.288417935371399, -0.9957291483879089, -0.5261031985282898, -0.4715401828289032, -0.3592657744884491]}"
5919-TMRGD,1,0.8224789,"{'features': ['tenure', 'Contract', 'drops', 'Dependents', 'MonthlyCharges'], 'values': [1.12065851688385, 0.7985187768936157, -0.5906345248222351, -0.5884348750114441, 0.3479810357093811]}"
8108-UXRQN,0,0.16545399,"{'features': ['MonthlyCharges', 'Dependents', 'Contract', 'PhoneService', 'OnlineSecurity'], 'values': [-0.9996258020401001, -0.6641139388084412, 0.5627586245536804, 0.5536260008811951, -0.5035538077354431]}"
9191-MYQKX,1,0.78755033,"{'features': ['Contract', 'tenure', 'DeviceProtection', 'OnlineSecurity', 'TechSupport'], 'values': [0.8764455914497375, 0.5550243854522705, -0.27622032165527344, 0.17407968640327454, 0.17176781594753265]}"
9919-YLNNG,1,0.55443525,"{'features': ['MonthlyCharges', 'Contract', 'TechSupport', 'tenure', 'DeviceProtection'], 'values': [1.158150315284729, 0.5966295003890991, -0.5773463249206543, -0.2987440228462219, -0.21708130836486816]}"
0318-ZOPWS,0,0.023155332,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'kabhi', 'hai'], 'values': [-2.1472673416137695, -0.9034955501556396, -0.5175089240074158, -0.36398184299468994, 0.3440016210079193]}"
4445-ZJNMU,1,0.83185494,"{'features': ['MonthlyCharges', 'Contract', 'drops', 'OnlineBackup', 'TotalCharges'], 'values': [1.3090401887893677, 0.7710053324699402, -0.53662109375, -0.26693394780158997, 0.23251982033252716]}"
4808-YNLEU,0,0.045592137,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'OnlineSecurity', 'TotalCharges'], 'values': [-1.2256134748458862, -0.5894976854324341, -0.43374699354171753, -0.41036203503608704, -0.30290061235427856]}"
1862-QRWPE,0,0.0052473093,"{'features': ['Contract', 'MonthlyCharges', 'SentimentScore', 'tenure', 'is'], 'values': [-1.8190492391586304, -1.2219489812850952, -0.48927295207977295, -0.4475220739841461, -0.3703100085258484]}"
2796-NNUFI,0,0.0056985375,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'speed', 'Dependents'], 'values': [-2.2280704975128174, -1.1120151281356812, -0.529741108417511, -0.3531920909881592, -0.2367265820503235]}"
3016-KSVCP,0,0.24099426,"{'features': ['MonthlyCharges', 'tenure', 'PhoneService', 'Contract', 'PaymentMethod'], 'values': [-1.0719313621520996, -0.8522433638572693, 0.6454325318336487, 0.5121602416038513, -0.502441942691803]}"
4767-HZZHQ,0,0.14537072,"{'features': ['tenure', 'Contract', 'Dependents', 'DeviceProtection', 'PaymentMethod'], 'values': [-0.7334078550338745, 0.5900030136108398, -0.3849432170391083, -0.254862517118454, -0.2354361116886139]}"
2424-WVHPL,0,0.18218827,"{'features': ['the', 'tenure', 'TechSupport', 'Contract', 'MonthlyCharges'], 'values': [-0.9027205109596252, 0.8539528846740723, -0.696052610874176, 0.6669252514839172, -0.46699440479278564]}"
7233-PAHHL,0,0.03708651,"{'features': ['Contract', 'tenure', 'OnlineSecurity', 'PaymentMethod', 'OnlineBackup'], 'values': [-1.6849473714828491, -0.5561880469322205, -0.43483978509902954, -0.40868011116981506, 0.24322806298732758]}"
6067-NGCEU,0,0.12401744,"{'features': ['tenure', 'OnlineSecurity', 'Contract', 'MonthlyCharges', 'bill'], 'values': [-1.1538279056549072, -0.794183611869812, 0.5556844472885132, 0.46845510601997375, -0.3006064295768738]}"
9848-JQJTX,0,0.016018547,"{'features': ['Contract', 'tenure', 'MonthlyCharges', 'TotalCharges', 'hai'], 'values': [-2.5283195972442627, -1.720977544784546, 0.5234366059303284, 0.48946067690849304, -0.33909010887145996]}"
8637-XJIVR,1,0.6888203,"{'features': ['Contract', 'OnlineSecurity', 'PaymentMethod', 'MonthlyCharges', 'DeviceProtection'], 'values': [0.8578003644943237, -0.7223075032234192, 0.1857994645833969, 0.11968155205249786, 0.10549184679985046]}"
9803-FTJCG,0,0.04032303,"{'features': ['tenure', 'Contract', 'TechSupport', 'OnlineSecurity', 'much'], 'values': [-1.1572389602661133, -0.7027012705802917, -0.41581451892852783, -0.41067972779273987, 0.25300663709640503]}"
0278-YXOOG,0,0.090555154,"{'features': ['MonthlyCharges', 'Contract', 'complaints', 'PaymentMethod', 'TotalCharges'], 'values': [-1.1209076642990112, 0.6463556289672852, -0.5226587653160095, -0.3744819760322571, -0.2865101397037506]}"
3212-KXOCR,0,0.020749593,"{'features': ['Contract', 'MonthlyCharges', 'complaints', 'tenure', 'TotalCharges'], 'values': [-2.103611469268799, -0.9795144200325012, -0.515519917011261, -0.3627374470233917, 0.11781094968318939]}"
4598-XLKNJ,1,0.69991714,"{'features': ['MonthlyCharges', 'average', 'Contract', 'tenure', 'MultipleLines'], 'values': [1.2172400951385498, -0.7205541133880615, 0.7201133966445923, -0.24973663687705994, -0.23771390318870544]}"
6380-ARCEH,1,0.5640386,"{'features': ['tenure', 'MonthlyCharges', 'Contract', 'PaymentMethod', 'PaperlessBilling'], 'values': [1.1776518821716309, -0.9147797226905823, 0.7370564341545105, -0.20078948140144348, -0.1694861203432083]}"
3679-XASPY,1,0.64288425,"{'features': ['tenure', 'MonthlyCharges', 'Contract', 'Dependents', 'gender'], 'values': [1.0553630590438843, -0.957477331161499, 0.8121647834777832, -0.30929034948349, 0.2530229687690735]}"
7123-WQUHX,0,0.025908189,"{'features': ['Contract', 'tenure', 'TechSupport', 'is', 'TotalCharges'], 'values': [-1.0315128564834595, -0.41186729073524475, -0.4030488133430481, -0.38084015250205994, -0.2782864272594452]}"
5386-THSLQ,0,0.07433312,"{'features': ['Contract', 'tenure', 'PhoneService', 'MonthlyCharges', 'OnlineSecurity'], 'values': [-1.194105863571167, -0.8259484767913818, 0.6575881242752075, -0.510362982749939, 0.2742539942264557]}"
3192-NQECA,0,0.34869742,"{'features': ['Contract', 'MonthlyCharges', 'TotalCharges', 'TechSupport', 'EmojiCount'], 'values': [-1.9005379676818848, 1.3758234977722168, 0.6872240304946899, -0.4407224953174591, 0.32889658212661743]}"
6180-YBIQI,0,0.23539759,"{'features': ['MonthlyCharges', 'the', 'Contract', 'PaymentMethod', 'PhoneService'], 'values': [-1.184285044670105, -0.9227770566940308, 0.5969219207763672, -0.5427431464195251, 0.4758435785770416]}"
6728-DKUCO,0,0.06395624,"{'features': ['tenure', 'Contract', 'Dependents', 'OnlineSecurity', 'MonthlyCharges'], 'values': [-1.6579573154449463, -0.584586501121521, -0.5556928515434265, -0.5527519583702087, 0.5334891080856323]}"
9750-BOOHV,0,0.021991542,"{'features': ['MonthlyCharges', 'Contract', 'tenure', 'OnlineSecurity', 'SentimentScore'], 'values': [-1.2183921337127686, -1.0795873403549194, -0.5543913841247559, -0.45608964562416077, -0.4555283486843109]}"
8597-CWYHH,0,0.08230711,"{'features': ['Contract', 'PaymentMethod', 'tenure', 'MonthlyCharges', 'TotalCharges'], 'values': [-1.0366075038909912, -0.38054654002189636, -0.37965288758277893, 0.2826211750507355, -0.2739126682281494]}"
2848-YXSMW,0,0.0044920594,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'Dependents', 'support'], 'values': [-1.861404299736023, -1.0393744707107544, -0.9716165661811829, -0.31952616572380066, -0.16359496116638184]}"
0486-HECZI,1,0.5291732,"{'features': ['MonthlyCharges', 'tenure', 'Contract', 'OnlineSecurity', 'TechSupport'], 'values': [0.9900432825088501, -0.866257905960083, 0.6950396299362183, -0.6355958580970764, 0.20665746927261353]}"
4549-ZDQYY,0,0.033142168,"{'features': ['Contract', 'MonthlyCharges', 'tenure', 'SentimentScore', 'OnlineSecurity'], 'values': [-1.2166696786880493, -0.57733154296875, -0.5412306189537048, -0.33853062987327576, -0.33080610632896423]}"
5712-AHQNN,1,0.53884774,"{'features': ['Contract', 'tenure', 'DeviceProtection', 'MonthlyCharges', 'TotalCharges'], 'values': [0.8029454946517944, -0.5847726464271545, -0.25447192788124084, 0.24422797560691833, -0.2061568945646286]}"
4846-WHAFZ,1,0.7775731,"{'features': ['Contract', 'tenure', 'PaymentMethod', 'SentimentScore', 'TotalCharges'], 'values': [0.7242091298103333, -0.5715102553367615, 0.2566079795360565, -0.2292487621307373, 0.20435582101345062]}"
5256-SKJGO,0,0.022337794,"{'features': ['Contract', 'tenure', 'the', 'TechSupport', 'MonthlyCharges'], 'values': [-1.4531930685043335, -0.6672130227088928, -0.6239685416221619, -0.5386710166931152, -0.5140518546104431]}"
3071-VBYPO,0,0.24166723,"{'features': ['OnlineSecurity', 'Contract', 'Dependents', 'SentimentScore', 'MonthlyCharges'], 'values': [-0.7500677108764648, 0.6569625735282898, -0.5361733436584473, -0.5094309449195862, 0.46669745445251465]}"
